City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,emmett,43.8735,-116.4993,2.89,75,65,2.07,US,1677861931
1,mataura,-46.1927,168.8643,10.44,81,100,0.79,NZ,1677861932
2,maragogi,-9.0122,-35.2225,29.38,62,6,4.57,BR,1677861933
3,vaini,-21.2,-175.2,27.09,94,100,3.6,TO,1677861934
4,narsaq,60.9167,-46.05,11.12,67,100,9.49,GL,1677861934
5,atuona,-9.8,-139.0333,26.53,77,16,7.07,PF,1677861935
6,jamestown,42.097,-79.2353,4.45,64,0,4.63,US,1677861668
7,hithadhoo,-0.6,73.0833,27.81,72,41,4.64,MV,1677861935
8,solenzo,12.1833,-4.0833,38.36,8,0,3.37,BF,1677861936
9,upernavik,72.7868,-56.1549,-23.19,85,74,5.29,GL,1677861936
10,hlotse,-28.8718,28.045,15.33,82,91,2.17,LS,1677861937
11,busselton,-33.65,115.3333,16.3,92,1,4.04,AU,1677861937
12,orodara,10.9492,-4.9342,35.86,9,1,3.53,BF,1677861937
13,pedernales,18.0384,-71.744,29.38,51,5,4.26,DO,1677861938
14,puerto ayora,-0.7393,-90.3518,30.98,85,50,3.13,EC,1677861938
15,hermanus,-34.4187,19.2345,21.0,87,25,3.65,ZA,1677861938
16,portland,45.5234,-122.6762,4.6,91,75,4.12,US,1677861240
17,san patricio,28.017,-97.5169,22.73,22,0,9.71,US,1677861939
18,pundaguitan,6.3711,126.1689,26.27,78,100,2.79,PH,1677861939
19,saskylakh,71.9167,114.0833,-13.86,94,100,7.12,RU,1677861939
20,chuy,-33.6971,-53.4616,31.9,39,42,4.03,UY,1677861940
21,butaritari,3.0707,172.7902,27.47,81,100,6.83,KI,1677861940
22,ponta do sol,32.6667,-17.1,21.11,88,77,1.07,PT,1677861940
23,bredasdorp,-34.5322,20.0403,22.67,66,46,4.97,ZA,1677861941
24,rikitea,-23.1203,-134.9692,26.27,68,59,4.83,PF,1677861941
25,isiro,2.7739,27.616,22.24,76,74,0.57,CD,1677861941
26,la asuncion,11.0333,-63.8628,26.6,71,50,8.26,VE,1677861942
27,ulladulla,-35.35,150.4667,18.53,84,100,1.02,AU,1677861942
28,sergeyevka,53.88,67.4158,-9.81,91,98,6.1,KZ,1677861943
29,geraldton,-28.7667,114.6,23.23,83,6,6.69,AU,1677861943
30,sao joao da barra,-21.6403,-41.0511,33.05,76,20,7.44,BR,1677861943
31,ushuaia,-54.8,-68.3,7.79,75,40,9.26,AR,1677861708
32,zeya,53.75,127.2667,-14.49,97,98,1.53,RU,1677861944
33,bambous virieux,-20.3428,57.7575,27.34,83,40,2.06,MU,1677861944
34,spiridonovka,53.0925,50.6462,-1.93,90,98,6.38,RU,1677861944
35,arraial do cabo,-22.9661,-42.0278,33.98,58,0,8.75,BR,1677861945
36,cape town,-33.9258,18.4232,23.4,73,75,7.2,ZA,1677861826
37,guarapuava,-25.3953,-51.4581,22.73,77,79,2.42,BR,1677861945
38,khatanga,71.9667,102.5,-14.52,97,100,0.38,RU,1677861945
39,koumac,-20.5667,164.2833,26.3,82,100,8.3,NC,1677861946
40,barrow,71.2906,-156.7887,-27.99,76,0,2.57,US,1677861946
41,lebu,-37.6167,-73.65,18.28,74,7,6.21,CL,1677861946
42,karratha,-20.7377,116.8463,29.04,74,16,7.89,AU,1677861947
43,qaanaaq,77.484,-69.3632,-22.67,61,0,4.2,GL,1677861947
44,fort nelson,58.8053,-122.7002,-13.92,83,100,3.6,CA,1677861929
45,yeppoon,-23.1333,150.7333,23.88,86,100,4.71,AU,1677861947
46,paamiut,61.994,-49.6678,2.91,82,100,4.08,GL,1677861948
47,avarua,-21.2078,-159.775,23.03,94,100,1.03,CK,1677861948
48,hasaki,35.7333,140.8333,7.34,59,100,2.81,JP,1677861949
49,mogocha,53.7333,119.7667,-15.18,100,77,1.28,RU,1677861949
50,sobolevo,54.4299,31.8996,-1.23,96,100,4.19,RU,1677861949
51,dale,38.1689,-86.99,11.88,100,100,5.66,US,1677861949
52,kaitangata,-46.2817,169.8464,10.88,88,100,1.69,NZ,1677861950
53,punta arenas,-53.15,-70.9167,9.06,57,40,14.4,CL,1677861499
54,hobart,-42.8794,147.3294,11.14,85,100,3.6,AU,1677861913
55,albany,42.6001,-73.9662,3.69,60,84,1.98,US,1677861715
56,poum,-20.2333,164.0167,26.93,80,100,11.65,NC,1677861950
57,hilo,19.7297,-155.09,18.68,95,100,3.09,US,1677861951
58,ambon,-3.6954,128.1814,24.08,94,20,1.03,ID,1677861951
59,axim,4.8699,-2.2405,28.71,73,50,4.25,GH,1677861951
60,talnakh,69.4865,88.3972,-17.38,96,100,0.72,RU,1677861952
61,torbay,47.6666,-52.7314,-2.07,68,75,4.92,CA,1677861930
62,cidreira,-30.1811,-50.2056,24.58,81,100,3.23,BR,1677861952
63,biak,-0.9131,122.8766,24.52,83,95,1.68,ID,1677861952
64,castro,-24.7911,-50.0119,24.68,70,71,3.91,BR,1677861953
65,saint-philippe,-21.3585,55.7679,27.77,82,91,4.32,RE,1677861953
66,gourcy,13.2167,-2.35,37.72,8,0,3.94,BF,1677861953
67,cabalitian,16.0883,120.7922,19.78,85,39,2.86,PH,1677861954
68,yellowknife,62.456,-114.3525,-21.71,71,75,3.6,CA,1677861954
69,notodden,59.5594,9.2585,7.92,49,0,7.72,NO,1677861954
70,sao filipe,14.8961,-24.4956,24.28,59,4,3.64,CV,1677861954
71,nelson bay,-32.7167,152.15,22.78,85,63,2.24,AU,1677861955
72,zaozerne,45.1582,33.2787,5.65,76,100,2.99,UA,1677861955
73,matagami,49.7502,-77.6328,-9.94,52,0,6.69,CA,1677861955
74,craig,40.5153,-107.5464,-6.03,79,100,3.09,US,1677861956
